Gene IDs;Score A4;Score B2;Score C2;Score D2;Score E2;Score F2
1278;12730,92;8897,7;15069,84;14423,49;20837,63;21997,72
2335;9817,31;6843,48;7334,9;17792,91;9110,41;11465,84
7431;2753,39;1953,44;4236,69;3870,69;6723,31;5939,89
1277;5406,58;2186,84;2873,71;8878,45;5921,59;6415,7
2316;3803,02;2506,75;4035,64;5289,11;5204,79;6125,54
7045;2385,77;2522,44;1161,12;5656,03;5068,05;4220,62
5054;1537,68;2022,69;836,54;3711,68;4844,4;4764,9
1281;4935,97;2846,2;3439,81;5542,29;3971,74;4176,34
1291;6266,66;2475,03;1952,11;5491,11;3702,81;3840,01
3848;2875,13;1572,47;2736,16;3311,7;3673,36;2050,25
1634;2491,29;3999,64;1590,74;2020,67;2904,77;3490,77
5270;802,05;1025,3;1204,42;1948,87;2763,39;3205,54
1509;1025,56;1001,98;1213,91;1610,25;2679,14;2492,52
5339;2009,35;1564,62;1426,88;3501,51;2462,49;2499,85
7057;4712,36;2056,07;2258,97;3902,96;2315,74;3085,37
6876;927,48;1372,94;1401,75;950,58;2306,75;1918,73
3858;2330,3;945,49;1077,23;2425,34;2305,64;1353,52
4000;1496,11;1152,25;1429,24;1869,86;2221,97;2155,55
1293;5474,61;2252,15;1547,94;8058,34;2195,76;3528,31
2023;822,34;1447,06;1008,42;967,67;2177,04;2109,35
87;1982,12;2476,79;1386,88;1868,87;2130,87;2848,56
7167;1248,57;1063,14;1160,36;1451,22;2112,17;2057,49
226;591,57;872,93;747,51;782,73;2086,79;1902,48
4060;911,61;1007,46;1028,92;1589;2062,96;2671,84
3485;1564,62;1032,36;2824,98;1129,97;2000,74;2144,69
3939;1382,11;1130,61;704,98;1596,9;1982,17;2159,53
1303;3282,76;1697,66;1406,04;7400,43;1965,38;2836,41
5806;1851,28;1329,04;1118,88;2207,05;1834,77;2342,91
5315;1038,32;1044,66;981,64;1097,28;1798,28;1878,41
3857;1824,94;838,45;1360,09;1632,03;1761,75;1033,51
7076;1233,63;781,82;1444,42;1281,06;1751,4;1950,07
6678;1628,37;791,7;920,06;1822,48;1744,34;2284,86
1284;715,67;334,12;1667,68;1329,48;1713,23;1777,1
3490;2238,01;666,25;1426,23;2012,71;1710,29;1765,71
3371;3632,16;2099,5;1645,8;6681,35;1534,21;2663,11
3849;1689,35;447,43;867,85;2137,1;1533,15;835,23
5176;3222,89;2450,04;1381,74;1977,56;1530,86;1743,66
7414;1209,25;1302,45;859,36;1230,73;1521,08;1688,9
5216;566,87;711,7;1013,55;720,33;1503,07;1312,54
1311;3233,22;1181,24;1083,88;6101,53;1500,4;2079,52
710;1212,07;1142,76;1278,54;655,67;1451,87;1403,31
60;1080,28;2136,03;1322,57;1307,92;1431,78;1781,5
71;1056,66;2176,65;1212,72;1323,84;1377,66;1678,16
7531;622,93;733,32;696,2;551,52;1370,74;1183,51
81;1493,44;1519,79;752,26;1459,43;1358,97;1819,01
716;1758,12;1335,52;1226,44;1642,32;1345,76;1316,52
