#node1	node2	score
FN1	EGF	0.988
FN1	VEGFA	0.988
FN1	ITGA5	0.99
SERPINE1	PLAU	0.999
SERPINE1	VEGFA	0.982
SERPINE2	PLAU	0.986
THBS1	VEGFA	0.99
ALB	EGF	0.98
ALB	VEGFA	0.986
BGN	TLR4	0.981
INHBA	ACVR2A	0.993
NFASC	ANK2	0.982
NFASC	ANK3	0.992
DAG1	DMD	0.997
AGT	AGTR1	0.996
TGFB1	SMAD3	0.983
TGFB1	TGFBR2	0.997
TGFB1	VEGFA	0.993
NRP1	PLXNA2	0.994
NRP1	PLXNA1	0.989
NRP1	VEGFA	0.995
THY1	ITGAM	0.987
PDGFRB	PDGFA	0.984
C3	ITGAM	0.991
CSF1	CSF1R	0.999
TGFB2	TGFBR2	0.986
NRCAM	ANK2	0.984
NRCAM	ANK3	0.987
IGF2	IGF1R	0.997
IGF2	VEGFA	0.98
FGF7	FGFR2	0.993
ANGPT1	TEK	0.999
ADAM10	NOTCH1	0.989
ADAM10	DLL1	0.99
NRP2	VEGFA	0.998
TFPI	F3	0.991
PDGFRA	PDGFA	0.988
PDGFRA	PIK3R1	0.985
PRL	JAK2	0.98
FGFR1	PIK3R1	0.981
LEP	JAK2	0.984
F2	F2R	0.998
F2	F3	0.993
ITGB1	VCAM1	0.983
ITGB1	ITGA3	0.992
ITGB1	ITGA5	0.999
B2M	KLRD1	0.99
CD14	ITGAM	0.985
CD14	TLR4	0.989
LY96	TLR4	0.999
IL6	IL6ST	0.997
IL6	IL6R	0.999
KNG1	BDKRB2	0.997
KNG1	BDKRB1	0.992
LRP2	DAB2	0.986
IL6R	IL6ST	0.991
IGF1	EGF	0.992
IGF1	INSR	0.997
IGF1	IRS2	0.983
IGF1	IGF1R	0.999
IGF1	VEGFA	0.993
RSPO1	LGR4	0.998
SEMA3B	NRP1	0.981
SEMA3C	NRP1	0.991
TGFBR3	TGFBR2	0.982
F10	TFPI	0.987
F10	F3	0.992
ADAM17	NOTCH1	0.984
MET	CDH1	0.987
