#node1	node2
HTR1F	HEBP1
HTR1F	C5
HTR1F	C3
HTR1F	KNG1
HTR1F	APP
HTR1F	GNAI2
HTR1F	PENK
HTR1F	AGT
HTR1F	GNG12
HTR1F	ANXA1
HTR1F	PSAP
HTR1F	CXCL12
HTR1F	SAA1
HTR1F	GNB1
HBEGF	MMP2
HBEGF	CDC37
HBEGF	ADAM10
HBEGF	GPC1
HBEGF	PRL
HBEGF	IGF1
HBEGF	ADAM17
HBEGF	HSP90AA1
HBEGF	GRB2
HBEGF	ADIPOQ
HBEGF	RHOA
BDKRB1	HEBP1
BDKRB1	C5
BDKRB1	C3
BDKRB1	KNG1
BDKRB1	APP
BDKRB1	F2
BDKRB1	GNAI2
BDKRB1	PENK
BDKRB1	AGT
BDKRB1	GNG12
BDKRB1	ANXA1
BDKRB1	PSAP
BDKRB1	CXCL12
BDKRB1	SAA1
BDKRB1	GNB1
PLAU	STK10
PLAU	PGRMC1
PLAU	SERPINE1
PLAU	VTN
PLAU	MLEC
PLAU	LRP1
PLAU	COPB1
PLAU	ADAM10
PLAU	ITGAV
PLAU	PDGFRB
PLAU	LAMTOR1
PLAU	STOM
PLAU	ITGA5
PLAU	GAA
PLAU	F2
PLAU	PLG
PLAU	NCL
PLAU	UBA1
PLAU	RAP2C
PLAU	FN1
PLAU	UBE2A
PLAU	RAB14
PLAU	CKAP4
PLAU	ATP6AP2
PLAU	DYNLL1
PLAU	PDGFD
PLAU	CD59
PLAU	ITGB1
PLAU	AP1M1
PLAU	TOM1
PLAU	SERPINE2
PLAU	LAMTOR3
PLAU	SERPINB6
KCNAB1	KCNH5
BDKRB2	HEBP1
BDKRB2	C5
BDKRB2	C3
BDKRB2	KNG1
BDKRB2	APP
BDKRB2	F2
BDKRB2	GNAI2
BDKRB2	PENK
BDKRB2	AGT
BDKRB2	GNG12
BDKRB2	ANXA1
BDKRB2	PSAP
BDKRB2	CXCL12
BDKRB2	SAA1
BDKRB2	GNB1
MYLK	VCL
MYLK	MAPK1
MYLK	MYH9
MYLK	MYL12A
MYLK	SORBS3
MYLK	MYL9
MYLK	ITGA1
MYLK	CALM3
MYLK	TLN1
MYLK	TPM4
MYLK	RAC1
MYLK	TPM1
MYLK	CALD1
MYLK	LMOD1
MYLK	TPM3
MYLK	CTTN
MYLK	TPM2
MYLK	PPP1CB
MYLK	ITGB1
MYLK	MYH11
MYLK	CDC42
MYLK	PPP1R12A
MYLK	ACTA2
MYLK	MYL6
GPR68	KNG1
GPR68	APP
GPR68	F2
GPR68	AGT
GPR68	GNG12
GPR68	ANXA1
GPR68	SAA1
GPR68	GNB1
CACNB4	CACNA2D4
GREM1	RGMB
SSTR2	HEBP1
SSTR2	C5
SSTR2	C3
SSTR2	KNG1
SSTR2	APP
SSTR2	GNAI2
SSTR2	PENK
SSTR2	AGT
SSTR2	GNG12
SSTR2	ANXA1
SSTR2	PSAP
SSTR2	CXCL12
SSTR2	SAA1
SSTR2	GNB1
MBP	MAPK1
IL12A	P4HB
IL12A	STAT1
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFA	IGF1
PDGFA	HSPG2
PDGFA	GRB2
PDGFA	PDGFD
PDGFA	FGFR1
PDGFA	PDGFC
VCAM1	THBS1
VCAM1	TLN1
VCAM1	MSN
VCAM1	STAT1
VCAM1	EZR
VCAM1	HLA-C
VCAM1	ITGB1
VCAM1	HLA-A
VCAM1	IFI30
VCAM1	IL6
VCAM1	ADIPOQ
VCAM1	HLA-B
VCAM1	B2M
IL15RA	GRB2
IL15RA	JAK3
ROBO4	SLIT3
CLDN1	CD81
RHOJ	ARHGAP20
RHOJ	ARHGDIA
RHOJ	ARHGAP42
RHOJ	ARHGAP1
RHOJ	A2M
RHOJ	RAC1
RHOJ	GDI2
RHOJ	CDC42
RHOJ	GDI1
RHOJ	RHOA
RHOJ	MYO9B
ADORA1	HEBP1
ADORA1	C5
ADORA1	C3
ADORA1	KNG1
ADORA1	APP
ADORA1	GNAI2
ADORA1	PENK
ADORA1	AGT
ADORA1	GNG12
ADORA1	ANXA1
ADORA1	PSAP
ADORA1	CXCL12
ADORA1	SAA1
ADORA1	GNB1
