#node1	node2
HTR1F	HEBP1
HTR1F	PSMD8
HTR1F	C5
HTR1F	C3
HTR1F	KNG1
HTR1F	APP
HTR1F	GNAI2
HTR1F	PENK
HTR1F	AGT
HTR1F	GNG12
HTR1F	ANXA1
HTR1F	PSAP
HTR1F	CXCL12
HTR1F	SAA1
HTR1F	GNB1
CLDN14	MYO15A
CLDN14	IDUA
CLDN14	SMOC1
HBEGF	MAPK1
HBEGF	TIMP1
HBEGF	MMP2
HBEGF	CDC37
HBEGF	SERPINE1
HBEGF	GAPDH
HBEGF	MMP7
HBEGF	ADAM10
HBEGF	PDGFRB
HBEGF	GPC1
HBEGF	FGF7
HBEGF	ALB
HBEGF	ANGPTL4
HBEGF	LTBP3
HBEGF	PRL
HBEGF	IGF1
HBEGF	MMP14
HBEGF	ADAM17
HBEGF	MET
HBEGF	P4HB
HBEGF	FBLN1
HBEGF	COL7A1
HBEGF	HSP90AA1
HBEGF	SLPI
HBEGF	PDGFA
HBEGF	FN1
HBEGF	ADAM15
HBEGF	IGF2R
HBEGF	HDGF
HBEGF	ADAM12
HBEGF	HSPG2
HBEGF	IGFBP3
HBEGF	GRB2
HBEGF	CXCL12
HBEGF	IL6
HBEGF	ADIPOQ
HBEGF	CD44
HBEGF	RHOA
HBEGF	ADAM9
HBEGF	VEGFC
BDKRB1	HEBP1
BDKRB1	C5
BDKRB1	C3
BDKRB1	KNG1
BDKRB1	APP
BDKRB1	MASP1
BDKRB1	F2
BDKRB1	GNAI2
BDKRB1	PENK
BDKRB1	AGT
BDKRB1	GNG12
BDKRB1	ANXA1
BDKRB1	PSAP
BDKRB1	CXCL12
BDKRB1	SAA1
BDKRB1	CPM
BDKRB1	GNB1
TNFRSF11B	TIMP1
TNFRSF11B	MMP2
TNFRSF11B	TGFB1
TNFRSF11B	COMP
TNFRSF11B	COL1A1
TNFRSF11B	VTN
TNFRSF11B	MGP
TNFRSF11B	GAPDH
TNFRSF11B	SPARC
TNFRSF11B	MMP13
TNFRSF11B	THBS1
TNFRSF11B	CTSK
TNFRSF11B	FRZB
TNFRSF11B	ALB
TNFRSF11B	COL1A2
TNFRSF11B	CKB
TNFRSF11B	PRL
TNFRSF11B	IGF1
TNFRSF11B	LEP
TNFRSF11B	CSF1
TNFRSF11B	CTNNB1
TNFRSF11B	FN1
TNFRSF11B	DKK1
TNFRSF11B	ALPL
TNFRSF11B	CXCL12
TNFRSF11B	IL6
TNFRSF11B	ADIPOQ
TNFRSF11B	AHSG
RTKN2	RHOA
PLAU	STK10
PLAU	MAPK1
PLAU	PGRMC1
PLAU	TIMP1
PLAU	MMP2
PLAU	TGFB1
PLAU	TFPI2
PLAU	SERPINE1
PLAU	VTN
PLAU	MLEC
PLAU	GAPDH
PLAU	TFPI
PLAU	CTSD
PLAU	MMP8
PLAU	LRP1
PLAU	COPB1
PLAU	ENPP2
PLAU	MMP7
PLAU	MMP13
PLAU	THBS1
PLAU	ADAM10
PLAU	ITGAV
PLAU	PDGFRB
PLAU	TIMP2
PLAU	LRP2
PLAU	NID1
PLAU	TIMP3
PLAU	LAMTOR1
PLAU	PRSS23
PLAU	STOM
PLAU	ITGA5
PLAU	VCAM1
PLAU	CAPN2
PLAU	SERPINI1
PLAU	ALB
PLAU	IGF1
PLAU	GAA
PLAU	MRC2
PLAU	MMP14
PLAU	F2
PLAU	PLG
PLAU	NDST2
PLAU	MET
PLAU	NCL
PLAU	SERPINF2
PLAU	HSPA5
PLAU	LASP1
PLAU	CSF1
PLAU	ANG
PLAU	UBA1
PLAU	CAV1
PLAU	RAP2C
PLAU	FBLN5
PLAU	CTSL
PLAU	CTSB
PLAU	ANXA2
PLAU	FN1
PLAU	IGF2R
PLAU	CENPF
PLAU	SERPINC1
PLAU	UBE2A
PLAU	GSN
PLAU	RAB14
PLAU	AHNAK
PLAU	CKAP4
PLAU	ATP6AP2
PLAU	IGFBP3
PLAU	DYNLL1
PLAU	PDGFD
PLAU	CXCL12
PLAU	CD59
PLAU	ITGB1
PLAU	CDC42
PLAU	FAH
PLAU	ELAVL1
PLAU	IL6
PLAU	AP1M1
PLAU	CD44
PLAU	RHOA
PLAU	ILF3
PLAU	TOM1
PLAU	SERPINE2
PLAU	PDGFC
PLAU	LAMTOR3
PLAU	ANGPT1
PLAU	CALU
PLAU	LDLR
PLAU	VEGFC
PLAU	SERPINB6
KCNAB1	TPD52L2
KCNAB1	ATIC
KCNAB1	ARPC1A
KCNAB1	KCNH5
KCNAB1	AKR1A1
KCNAB1	LIN7A
BDKRB2	HEBP1
BDKRB2	AHCY
BDKRB2	C5
BDKRB2	MANBA
BDKRB2	C3
BDKRB2	APLP2
BDKRB2	KNG1
BDKRB2	SERPING1
BDKRB2	APP
