#node1	node2
COL1A2	MSR1
FN1	TGFB3
FN1	CDH1
FN1	EGF
FN1	ITGB7
FN1	IGF1R
FN1	ITGA5
FN1	AGTRAP
FN1	SMAD3
FN1	PLAU
FN1	TEK
FN1	JAK2
FN1	CST3
FN1	ESR1
FN1	ANGPT1
FN1	VEGFA
VIM	DMD
COL1A1	MSR1
COL1A1	ITGA5
FLNA	ITGB4
FLNA	ITGB7
FLNA	CAV1
FLNA	AR
FLNA	ROR2
TGFBI	ITGA3
TGFBI	ITGAM
SERPINE1	TGFB3
SERPINE1	EGF
SERPINE1	SMAD3
SERPINE1	F3
SERPINE1	PLAU
SERPINE1	VEGFA
COL3A1	MSR1
COL3A1	CDH11
KRT1	KRT19
DCN	TGFB3
DCN	MMP7
DCN	TLR4
SERPINE2	PLAU
CTSD	CST3
CTSD	ESR1
CTSD	DBNL
PLEC	ITGB4
PLEC	DOCK4
THBS1	ITGA3
THBS1	TGFB3
THBS1	EGF
THBS1	VCAM1
THBS1	VEGFA
KRT10	KRT19
LMNA	AGTRAP
LMNA	JAK2
ACTN1	TNS1
ACTN1	TGFB3
ACTN1	CDH1
ACTN1	EGF
ACTN1	KIRREL
ACTN1	PIK3R1
ACTN1	LMO7
ACTN1	VEGFA
ALDOA	TGFB3
ALDOA	EGF
ALDOA	CST3
ALDOA	ESR1
ALDOA	DBNL
ALDOA	VEGFA
LUM	TGFB3
PTX3	CST3
PTX3	DBNL
KRT9	KRT19
TIMP1	MMP15
TIMP1	TGFB3
TIMP1	MMP7
TIMP1	EGF
TIMP1	CST3
TIMP1	VEGFA
SPARC	TGFB3
SPARC	EGF
SPARC	VEGFA
COL4A2	MSR1
IGFBP7	CST3
TNC	CST3
KRT2	KRT19
SERPINF1	VEGFA
VCL	TNS1
VCL	CDH1
VCL	TJP1
VCL	AGTRAP
VCL	SORBS2
VCL	MYLK
VCL	PIK3R1
PFN1	DAAM1
COMP	ITGA5
SERPING1	TGFB3
SERPING1	EGF
SERPING1	VEGFA
ACTB	TJP1
ACTB	BAIAP2
ACTB	DMD
ACTB	ITSN1
ACTB	RDX
ACTG1	TJP1
ACTG1	BAIAP2
ACTG1	DMD
ACTG1	ITSN1
ACTG1	RDX
YWHAE	ITGB4
YWHAE	SORT1
YWHAE	AJUBA
YWHAE	CDK5
ACTN4	TNS1
ACTN4	ITGB4
ACTN4	TGFB3
ACTN4	EGF
ACTN4	MICALL2
ACTN4	KIRREL
ACTN4	PIK3R1
ACTN4	LMO7
ACTN4	VEGFA
