#node1	node2	score
FN1	EGF	0.988
FN1	VEGFA	0.988
FN1	ITGA5	0.99
FLNA	ITGB7	0.986
SERPINE1	PLAU	0.999
SERPINE1	VEGFA	0.982
SERPINE2	PLAU	0.986
PLEC	ITGB4	0.999
THBS1	VEGFA	0.99
VCL	CDH1	0.987
ALB	EGF	0.98
ALB	VEGFA	0.986
BGN	TLR4	0.981
HSPA8	HSPB1	0.984
HSPA5	HSPA1A	0.984
TLN1	ITGA5	0.981
CALD1	MYLK	0.984
DPYSL2	CDK5	0.987
ANXA1	FPR1	0.988
HSP90AA1	AR	0.988
HSP90AA1	HSPA1A	0.997
HSP90AB1	HSPA1A	0.997
INHBA	ACVR2A	0.993
HSPA2	HSPA1A	0.98
GDI1	RAB31	0.98
NFASC	ANK2	0.982
NFASC	ANK3	0.992
DAG1	DMD	0.997
AGT	AGTR1	0.996
CYCS	HSPB1	0.984
AP2B1	ITSN1	0.996
AP2B1	AMPH	0.986
MYL12A	MYLK	0.996
NEO1	RGMB	0.984
NEO1	RGMA	0.995
MYL9	MYLK	0.997
AP2A1	AMPH	0.987
MYL6	MYLK	0.991
TGFB1	SMAD3	0.983
TGFB1	TGFBR2	0.997
TGFB1	VEGFA	0.993
SPTBN1	ANK2	0.983
THY1	ITGAM	0.987
NRP1	PLXNA2	0.994
NRP1	PLXNA1	0.989
NRP1	VEGFA	0.995
PDGFRB	PDGFA	0.984
ADH1B	ADH1A	0.982
ENG	ACVRL1	0.993
C3	ITGAM	0.991
UBC	NEDD4	0.995
CSF1	CSF1R	0.999
IQGAP1	CDH1	0.984
TGFB2	TGFBR2	0.986
CRK	IGF1R	0.98
DSP	PKP3	0.992
UBE2K	NEDD4L	0.986
NRCAM	ANK2	0.984
NRCAM	ANK3	0.987
PICALM	HIP1R	0.988
IGF2	IGF1R	0.997
IGF2	VEGFA	0.98
FGF7	FGFR2	0.993
ANGPT1	TEK	0.999
CLTC	HIP1R	0.984
CTTN	HIP1R	0.993
LFNG	NOTCH1	0.986
ADAM10	NOTCH1	0.989
ADAM10	DLL1	0.99
NRP2	VEGFA	0.998
CALM3	MYLK	0.991
TFPI	F3	0.991
PPP1R12A	PPP1CB	0.992
VPS35	WLS	0.987
EPN1	HIP1R	0.982
MAPK1	SMAD3	0.986
STIP1	HSPA1A	0.989
PDGFRA	PDGFA	0.988
PDGFRA	PIK3R1	0.985
PRL	JAK2	0.98
PPP1R7	PPP1CB	0.991
GRB2	JAK2	0.986
GRB2	EGF	0.982
GRB2	FGFR2	0.988
UBE2N	TLR4	0.987
RAC1	BAIAP2	0.988
RAC1	TIAM1	0.985
TOLLIP	IRAK1	0.992
TOLLIP	IRAK2	0.987
NECAP2	ITSN1	0.981
FGFR1	PIK3R1	0.981
LEP	JAK2	0.984
CDC42	ITSN1	0.998
CDC42	CDH1	0.985
CDC42	TIAM1	0.987
CDC42	BAIAP2	0.999
F2	F2R	0.998
F2	F3	0.993
UBE2D3	NEDD4L	0.992
UBE2D3	NEDD4	0.99
ITGB1	VCAM1	0.983
ITGB1	ITGA3	0.992
ITGB1	ITGA5	0.999
B2M	KLRD1	0.99
ELOB	CISH	0.986
CD14	ITGAM	0.985
CD14	TLR4	0.989
CLTA	HIP1R	0.98
POFUT1	NOTCH1	0.988
SLC3A2	SLC7A8	0.988
RAB5A	RIN1	0.987
S100A10	AHNAK	0.992
GNB1	GNAI3	0.999
GNB1	ADORA1	0.982
ELOC	CISH	0.99
RHOA	CDH1	0.981
RHOA	TIAM1	0.98
RHOA	DAAM1	0.993
RHOA	PLXNB1	0.981
RBX1	DCUN1D3	0.981
GLUD1	GLUL	0.983
LY96	TLR4	0.999
JUP	CDH1	0.995
IL6	IL6ST	0.997
IL6	IL6R	0.999
KNG1	BDKRB2	0.997
KNG1	BDKRB1	0.992
YKT6	STX7	0.982
LRP2	DAB2	0.986
NCOA4	AR	0.998
SIN3A	ING2	0.994
CASP3	CDH1	0.983
CLTB	HIP1R	0.988
DMD	CAV3	0.987
DSC1	PKP3	0.991
DSG1	PKP3	0.991
PROCR	F2R	0.99
FER	CDH1	0.999
GNAI2	ADORA1	0.988
GNAI2	GNAI3	0.98
IGF1	EGF	0.992
IGF1	INSR	0.997
IGF1	IRS2	0.983
IGF1	IGF1R	0.999
IGF1	VEGFA	0.993
IL6R	IL6ST	0.991
ITGAV	ITGB8	0.996
MAPK14	HSPB1	0.99
PTPN11	CTLA4	0.982
PTPN11	JAK2	0.992
RSPO1	LGR4	0.998
SEMA3B	NRP1	0.981
SEMA3C	NRP1	0.991
TGFBR3	TGFBR2	0.982
TNFSF12	TNFRSF12A	0.995
TNFSF12	TNFRSF25	0.981
EP300	SMAD3	0.984
EP300	ESR1	0.984
EP300	AR	0.98
F10	TFPI	0.987
F10	F3	0.992
PPP1CA	PPP1CB	0.988
ADAM17	NOTCH1	0.984
FNBP1	ITSN1	0.984
PLXND1	NRP1	0.98
PYCARD	CASP1	0.997
CTNNB1	CDH1	0.999
CTNNB1	AR	0.984
CTNNB1	NOTCH1	0.99
CTNNB1	PIK3R1	0.983
UBE2M	DCUN1D3	0.988
BAG3	HSPA1A	0.981
CTNND1	TJP1	0.985
CTNND1	CDH1	0.999
FKBP4	AR	0.982
MET	CDH1	0.987
STAT1	JAK2	0.998
STAT1	IFNGR1	0.99
STXBP1	STX1B	0.992
