#node1	node2
COL1A2	ITGA3
COL1A2	ITGB4
COL1A2	ITGB8
COL1A2	TGFB3
COL1A2	MMP7
COL1A2	MSR1
COL1A2	ITGB7
COL1A2	CDH11
COL1A2	ITGA5
COL1A2	TNFRSF11B
COL1A2	SMAD3
COL1A2	TGFBR2
COL1A2	ADAM12
COL1A2	ITGA10
COL1A2	VEGFA
FN1	ITGA3
FN1	TNS1
FN1	EFNB1
FN1	TGFBR3
FN1	MMP15
FN1	HBEGF
FN1	TGFB3
FN1	HSPB1
FN1	JAG1
FN1	NT5E
FN1	MMP7
FN1	CDH1
FN1	NOX4
FN1	TYRO3
FN1	SLC9A1
FN1	MCAM
FN1	EGF
FN1	NRP1
FN1	ITGB7
FN1	IGF1R
FN1	CDH11
FN1	NOTCH1
FN1	PTPRO
FN1	TJP1
FN1	FZD7
FN1	CSF1R
FN1	TIAM1
FN1	ITGA5
FN1	VCAM1
FN1	TLR3
FN1	TNFRSF11B
FN1	ANPEP
FN1	INSR
FN1	CTLA4
FN1	ROBO4
FN1	ANGPT2
FN1	RHOJ
FN1	AGTRAP
FN1	F2R
FN1	EPHB3
FN1	FLRT2
FN1	SMAD3
FN1	F3
FN1	CAV1
FN1	PDGFA
FN1	SEMA4F
FN1	EPHA2
FN1	TGFBR2
FN1	KIRREL
FN1	MYLK
FN1	DMD
FN1	KRT19
FN1	RHOU
FN1	PTPRK
FN1	ADAM12
FN1	IRAK1
FN1	PLAU
FN1	DKK1
FN1	TLR4
FN1	AR
FN1	FLRT3
FN1	PODXL
FN1	TEK
FN1	JAK2
FN1	ACVRL1
FN1	MBP
FN1	CST3
FN1	RDX
FN1	PTPN13
FN1	PTPRJ
FN1	ESR1
FN1	FGFR2
FN1	AGTR1
FN1	ANGPT1
FN1	ITGAM
FN1	VEGFA
VIM	ITGB4
VIM	TGFB3
VIM	HSPB1
VIM	CDH1
VIM	EGF
VIM	CDH11
VIM	EMP3
VIM	NOTCH1
VIM	TJP1
VIM	ITGA5
VIM	ANPEP
VIM	SPHK1
VIM	SMAD3
VIM	DMD
VIM	DLL1
VIM	SLC16A12
VIM	ESR1
VIM	CRYAB
COL1A1	ITGA3
COL1A1	ITGB4
COL1A1	ITGB8
COL1A1	TGFB3
COL1A1	CDH1
COL1A1	MSR1
COL1A1	ITGB7
COL1A1	CDH11
COL1A1	NOTCH1
COL1A1	ITGA5
COL1A1	TNFRSF11B
COL1A1	SMAD3
COL1A1	CAV1
COL1A1	TGFBR2
COL1A1	KRT19
COL1A1	ADAM12
COL1A1	ITGA10
COL1A1	DKK1
COL1A1	ESR1
COL1A1	VEGFA
FLNA	ITGA3
FLNA	ITGB4
FLNA	ITGB8
FLNA	AJUBA
FLNA	NRP1
FLNA	ITGB7
FLNA	LIMD1
FLNA	NOTCH1
FLNA	TJP1
FLNA	ITGA5
FLNA	SMAD3
FLNA	NEXN
FLNA	F3
FLNA	CAV1
FLNA	ARL4C
FLNA	SH2B3
FLNA	SSTR2
FLNA	MYLK
FLNA	ITGA10
FLNA	AR
FLNA	ROR2
FLNA	ABCC4
FLNA	AHNAK
FLNA	PHLDB2
FLNA	AGTR1
TGFBI	ITGA3
TGFBI	CDH1
TGFBI	ITGA5
TGFBI	SMAD3
TGFBI	TGFBR2
TGFBI	MYOF
TGFBI	ITGAM
SERPINE1	MMP15
SERPINE1	NAMPT
SERPINE1	HBEGF
SERPINE1	TFPI
SERPINE1	TGFB3
SERPINE1	MMP7
SERPINE1	CDH1
SERPINE1	KCNN4
SERPINE1	NOX4
SERPINE1	EGF
SERPINE1	NOTCH1
SERPINE1	ITGA5
SERPINE1	VCAM1
SERPINE1	ANGPT2
SERPINE1	F2R
SERPINE1	TNFRSF12A
SERPINE1	SMAD3
SERPINE1	F3
SERPINE1	CAV1
SERPINE1	TGFBR2
SERPINE1	PLAU
SERPINE1	TLR4
SERPINE1	ESR1
SERPINE1	AGTR1
SERPINE1	ANGPT1
SERPINE1	VEGFA
COL3A1	TGFB3
COL3A1	MSR1
COL3A1	CDH11
COL3A1	ITGA5
COL3A1	VCAM1
COL3A1	SMAD3
COL3A1	TGFBR2
COL3A1	MYLK
COL3A1	GREM1
COL6A1	ITGA3
COL6A1	ITGB4
COL6A1	ITGB8
COL6A1	ITGB7
COL6A1	ITGA5
COL6A1	DMD
COL6A1	KRT19
COL6A1	ITGA10
