Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
SMAD1_HUMAN;1 (1);25.88;9.77e-003;6.53;123;Mothers against decapentaplegic homolog 1 OS=Homo sapiens GN=SMAD1 PE=1 SV=1;7.34e+004;1.12e+004
YBOX3_HUMAN;6 (1);317.92;9.47e-003;2.62;123;Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4;3237.14;8475.27
SEMG2_HUMAN;1 (1);22.06;9.44e-003;1.83e+004;123;Semenogelin-2 OS=Homo sapiens GN=SEMG2 PE=1 SV=1;7440.45;0.41
CAPZB_HUMAN;7 (7);325.47;9.26e-003;5.26;123;F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4;7514.44;3.95e+004
PLA1A_HUMAN;1 (1);15.41;8.91e-003;14.57;123;Phospholipase A1 member A OS=Homo sapiens GN=PLA1A PE=2 SV=2;206.85;3013.08
PTPRG_HUMAN;4 (4);154.37;8.90e-003;1.60;123;Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens GN=PTPRG PE=1 SV=4;5939.84;9489.27
AMPB_HUMAN;3 (3);66.94;8.81e-003;3.64;123;Aminopeptidase B OS=Homo sapiens GN=RNPEP PE=1 SV=2;4.92e+004;1.35e+004
PTGR1_HUMAN;5 (5);156.16;8.72e-004;8.17;123;Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2;1001.68;8182.02
UBP7_HUMAN;1 (1);18.83;8.71e-003;4.94;123;Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens GN=USP7 PE=1 SV=2;1159.28;5721.36
CIRBP_HUMAN;3 (3);138.80;8.64e-003;3.00;123;Cold-inducible RNA-binding protein OS=Homo sapiens GN=CIRBP PE=1 SV=1;3529.67;1.06e+004
THIM_HUMAN;1 (1);30.48;8.56e-003;4.58;123;3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2;1194.97;5470.43
COPG1_HUMAN;1 (1);39.07;8.54e-005;Infinity;123;Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1;0.00;1310.56
MTAP_HUMAN;3 (3);192.94;8.36e-003;8.94;123;S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2;1796.98;1.61e+004
FGL1_HUMAN;1 (1);24.31;8.36e-003;8.12;123;Fibrinogen-like protein 1 OS=Homo sapiens GN=FGL1 PE=1 SV=3;1347.45;1.09e+004
PDZ11_HUMAN;2 (2);41.82;7.86e-003;3.04;123;PDZ domain-containing protein 11 OS=Homo sapiens GN=PDZD11 PE=1 SV=2;1.05e+005;3.19e+005
OLM2B_HUMAN;1 (1);41.94;7.52e-003;6.00;123;Olfactomedin-like protein 2B OS=Homo sapiens GN=OLFML2B PE=2 SV=2;1284.12;7710.43
PSA4_HUMAN;5 (5);206.42;7.48e-004;3.42;123;Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1;7.37e+004;2.15e+004
PSME1_HUMAN;7 (7);323.62;7.40e-003;3.74;123;Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1;4678.31;1.75e+004
CAH12_HUMAN;4 (4);89.74;7.34e-003;2.29;123;Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=1 SV=1;2657.45;6097.43
1433E_HUMAN;19 (13);1109.08;7.10e-003;3.92;123;14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1;8.80e+004;3.45e+005
OXSM_HUMAN;1 (1);17.21;6.99e-003;3.02;123;3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens GN=OXSM PE=1 SV=1;2.97e+005;9.85e+004
SMD1_HUMAN;2 (2);68.83;6.96e-004;3.79;123;Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1;1446.80;5489.75
MAP1A_HUMAN;2 (1);96.14;6.87e-003;2.13;123;Microtubule-associated protein 1A OS=Homo sapiens GN=MAP1A PE=1 SV=6;931.61;1983.83
GCNT1_HUMAN;1 (1);37.74;6.57e-003;4.60;123;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase OS=Homo sapiens GN=GCNT1 PE=1 SV=2;657.91;3024.83
COPG2_HUMAN;1 (1);62.51;6.48e-003;4.03;123;Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1;276.27;1113.68
TRFE_HUMAN;20 (20);1101.58;6.47e-003;5.34;123;Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3;1.53e+004;8.16e+004
TIMP3_HUMAN;3 (3);150.51;6.43e-004;4.97;123;Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2;1586.04;7875.80
MYH1_HUMAN;1 (1);19.08;6.40e-003;4.57;123;Myosin-1 OS=Homo sapiens GN=MYH1 PE=1 SV=3;1.15e+004;2519.55
SFRP3_HUMAN;1 (1);36.31;6.23e-003;3.61;123;Secreted frizzled-related protein 3 OS=Homo sapiens GN=FRZB PE=1 SV=2;1.23e+004;3423.38
